Pipelines,Datasets,Status
0,10,1
1,2,1
1,6,2
1,8,1
1,10,1
1,12,1
1,20,2
2,2,1
2,5,1
2,8,1
2,9,1
3,5,2
3,6,1
3,9,2
3,10,1
3,12,1
3,13,2
3,14,2
3,15,2
3,16,1
3,17,2
3,18,2
3,19,1
3,20,1
4,0,1
4,1,1
4,6,1
4,9,2
4,10,1
4,11,1
4,12,1
4,13,1
4,14,1
4,15,1
4,16,2
4,17,2
4,18,1
4,20,2
4,21,1
5,2,1
5,5,1
5,8,1
5,9,2
6,2,1
6,8,1
6,9,2
6,10,1
6,13,2
6,14,2
6,15,2
6,16,1
6,17,2
6,18,2
6,20,2
7,5,2
7,6,2
7,9,2
7,10,1
7,12,1
7,13,2
7,14,2
7,15,2
7,16,2
7,17,2
7,18,2
7,19,1
7,20,2
8,6,1
8,10,1
8,12,1
8,20,1
9,6,1
9,10,1
9,12,1
9,20,2
10,2,1
10,5,1
10,8,1
10,9,2
11,2,1
11,8,1
11,9,2
11,10,1
12,2,1
12,3,2
12,6,2
12,8,1
12,9,2
12,10,1
12,12,1
12,13,2
12,14,2
12,15,1
12,16,2
12,17,2
12,18,2
12,19,1
12,20,2
13,2,1
13,3,2
13,6,2
13,8,1
13,9,2
13,10,1
13,12,1
13,13,2
13,14,2
13,15,2
13,16,2
13,17,2
13,18,2
13,19,1
13,20,2
14,6,1
14,9,2
14,10,1
14,12,1
14,13,2
14,14,2
14,15,2
14,16,2
14,17,1
14,18,1
14,19,1
14,20,2
15,6,2
15,10,1
15,12,2
15,20,1
16,2,1
16,5,2
16,6,1
16,8,1
16,9,2
16,10,1
16,12,1
16,13,2
16,14,2
16,15,2
16,16,2
16,17,2
16,18,2
16,19,1
16,20,2
17,6,1
17,9,1
17,10,1
17,12,1
17,13,1
17,14,1
17,15,1
17,16,1
17,17,1
17,18,1
17,19,1
17,20,1
18,6,1
18,9,2
18,10,1
18,12,1
18,13,2
18,14,1
18,15,2
18,16,2
18,17,2
18,18,2
18,19,1
18,20,2
19,6,1
19,10,1
19,12,1
19,20,1
20,6,1
20,9,1
20,13,1
20,14,1
20,15,1
20,16,1
20,17,1
20,18,1
20,19,1
20,20,1
21,0,1
21,1,1
21,10,1
21,11,1
21,21,2
22,10,1
23,2,1
23,6,1
23,8,1
23,10,1
23,12,1
23,20,2
24,2,1
24,5,2
24,6,2
24,8,1
24,9,2
24,10,1
24,12,1
24,13,2
24,14,2
24,15,2
24,16,2
24,17,2
24,18,2
24,19,2
24,20,2
25,0,1
25,1,1
25,5,2
25,6,1
25,9,2
25,10,1
25,11,1
25,12,2
25,13,2
25,14,2
25,15,2
25,16,2
25,17,2
25,18,1
25,19,1
25,20,2
25,21,2
26,5,2
26,6,1
26,9,2
26,10,1
26,12,1
26,13,2
26,14,2
26,15,1
26,16,2
26,17,2
26,18,2
26,19,1
26,20,2
27,2,1
27,8,1
27,9,1
28,0,2
28,1,1
28,3,2
28,4,2
28,5,2
28,6,2
28,7,2
28,9,2
28,10,1
28,12,1
28,13,2
28,14,2
28,15,2
28,16,2
28,17,2
28,18,2
28,19,1
28,20,2
29,2,1
29,8,1
29,10,1
30,2,1
30,5,1
30,8,1
30,9,1
31,0,1
31,1,1
31,2,1
31,3,2
31,4,2
31,5,2
31,6,1
31,7,1
31,8,1
31,9,2
31,10,1
31,11,1
31,13,2
31,14,2
31,15,2
31,16,2
31,17,2
31,18,2
31,19,1
31,20,2
31,21,2
