Pipelines/Datasets,multicenter-phantom,openpain/BrainNetworkChange_Mano,openpain/subacute_longitudinal_study,openpain/thermal,openpain/cbp_resting,openpain/placebo_predict_tetreault,openpain/placebo_1,cneuromod,Khanlab/BigBrainHippoUnfold,Khanlab/HCPUR100-Template,Khanlab/BigBrainMRICoreg,mm_neo_atlas,BigBrain_3DSurfaces,VFA_T1_mapping___RTHawk__open__vs_Siemens__commercial_,braincode_Mouse_Image,Reusing-Neuro-Data,MRI_and_unbiased_averages_of_wild_muskrats__Ondatra_zibethicus__and_red_squirrels__Tamiasciurus_hudsonicus_,preventad-open-bids,mcgill-emc-rna-seq-experiment,preventad-open,braincode_NDD_Priority_Setting_Partnership,SIMON-dataset,Comparing_Perturbation_Modes_for_Evaluating_Instabilities_in_Neuroimaging__Processed_NKI_RS_Subset__08_2019_,Intracellular_Recordings_of_Murine_Neocortical_Neurons,nhpatlas,1000GenomesProject,BigBrain_3DClassifiedVolumes,Learning_Naturalistic_Structure__Processed_fMRI_dataset,BigBrain,Numerically_Perturbed_Structural_Connectomes_from_100_individuals_in_the_NKI_Rockland_Dataset,PERFORM_Dataset__one_control_subject
fsl_bet,,x,x,x,x,x,x,,,x,,,,,,,,x,,x,,x,,,,,,x,,,
fslstats,,x,x,x,x,x,x,,x,x,x,,,,,,x,x,,x,,x,,,,,x,x,x,,
MCFLIRT,,x,x,x,x,x,x,,,,,,,,,,,x,,x,,x,,,,,,x,,,
BIDS App - fmriprep,,x,x,x,x,x,x,,,,,,,,,,,x,,,,x,,,,,,,,,
BIDS app example,,x,x,x,x,x,x,,,,,,,,,,,x,,,,x,,,,,,,,,
Dipy Tracking and Connectome Generation,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,
FreeSurferPipelineBatch-CentOS7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIDS App - FreeSurfer 6.0,,x,x,x,x,x,x,,,x,,,,,,,,x,,x,,x,,,,,,,,,
ICA_AROMA,,x,x,x,x,x,x,,,,,,,,,,,x,,x,,x,,,,,,x,,,
ndmg,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,
PostFreeSurferPipelineBatch-CentOS7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oneVoxel,,x,x,x,x,x,x,,x,x,x,,,,,,x,x,,x,,x,,,,,x,x,x,,
DTIFit,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,
BIDS App - FSL Diffusion Preprocessing,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,
BIDS App - ndmg,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,
fsl_probtrackx2,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,
FLIRT,,x,x,x,x,x,x,,x,,,,,,,,,x,,x,,x,,,,,,x,,,
fsl_fast,,x,x,x,x,x,x,,,x,,,,,,,,x,,x,,x,,,,,,x,,,
fsl_first,,x,x,x,x,x,x,,,x,,,,,,,,x,,x,,x,,,,,,x,,,
BrainExtraction,,x,x,x,x,x,x,,,x,,,,,,,,x,,x,,x,,,,,,x,,,
FNIRT,,x,x,x,x,x,x,,x,,,,,,,,,x,,x,,x,,,,,,x,,,
PreFreeSurferPipelineBatch,,x,x,x,x,x,x,,,,,,,,,,,x,,x,,x,,,,,,x,,,
FslBet601,,x,x,x,x,x,x,,,x,,,,,,,,x,,x,,x,,,,,,x,,,
shape_group_run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FreeSurfer-Recon-all,,x,x,x,x,x,x,,,,,,,,,,,x,,x,,x,,,,,,x,,,
Comments if necessary,"no pipeline is applicable
(minc data)",,,,,,,"no pipeline is applicable
 (dataset has no data)",,,,"genetics
(I don't know enough about it)","no pipeline is applicable
(minc data)",T1 maps,"no pipeline is applicable
(dataset has no data)","genetics
(I don't know enough about it)",,,"genetics
(I don't know enough about it)",,"no pipeline is applicable
(dataset has no data)",,no pipeline is applicable,no pipeline is applicable,"genetics
(I don't know enough about it)","genetics
(I don't know enough about it)",,,,no pipeline is applicable,no pipeline is applicable(minc data)
