Pipelines/Datasets,Brainspann,multicenter-phantom,cneuromod,preventad-open-bids,Learning_Naturalistic_Structure__Processed_fMRI_dataset,BigBrain
fsl_bet,,x,x,x,x,
fslstats,,x,x,x,x,
MCFLIRT,,x,x,x,x,
BIDS App - fmriprep,,x,x,x,x,
BIDS app example,,,,,,
FreeSurferPipelineBatch-CentOS7,,x,x,x,x,
BIDS App - FreeSurfer 6.0,,x,x,x,x,
ICA_AROMA,,x,x,x,x,
MRIQC,,x,x,x,x,
FLIRT,,x,x,x,x,
fsl_fast,,x,x,x,x,
fsl_first,,x,x,x,x,
BrainExtraction,,x,x,x,x,
FNIRT,,x,x,x,x,
TOPUP,,,x,,,
ApplyWarp,,x,x,x,x,
ApplyTOPUP,,,x,,,
ConcatTransfoo,,x,x,x,x,
CorticalThickness ,,x,x,x,x,
FslBet601,,x,x,x,x,
fsl_anat,,x,x,x,x,
FreeSurfer-Recon-all,,x,x,x,x,
Comments,I don't think that most neuroimaging tools work on Brainspan data.,,,,,I don't think that most neuroimaging tools work on BigBrain data.
