Pipelines,Datasets,Status,Average expert confidence
ApplyTOPUP,cneuromod,failed,4.0
ApplyWarp,Comparing_Perturbation_Modes_for_Evaluating_Instabilities_in_Neuroimaging__Processed_NKI_RS_Subset__08_2019_,failed,3.5
ApplyWarp,Learning_Naturalistic_Structure__Processed_fMRI_dataset,success,4.0
ApplyWarp,Numerically_Perturbed_Structural_Connectomes_from_100_individuals_in_the_NKI_Rockland_Dataset,failed,3.5
ApplyWarp,cneuromod,failed,3.5
ApplyWarp,multicenter-phantom,failed,3.5
ApplyWarp,preventad-open-bids,success,3.5
BIDS App - FSL Diffusion Preprocessing,Comparing_Perturbation_Modes_for_Evaluating_Instabilities_in_Neuroimaging__Processed_NKI_RS_Subset__08_2019_,failed,4.0
BIDS App - FSL Diffusion Preprocessing,Khanlab/HCPUR100-Template,failed,3.0
BIDS App - FSL Diffusion Preprocessing,Numerically_Perturbed_Structural_Connectomes_from_100_individuals_in_the_NKI_Rockland_Dataset,failed,4.0
BIDS App - FSL Diffusion Preprocessing,SIMON-dataset,failed,3.0
BIDS App - FreeSurfer 6.0,Khanlab/HCPUR100-Template,success,3.5
BIDS App - FreeSurfer 6.0,Learning_Naturalistic_Structure__Processed_fMRI_dataset,failed,4.0
BIDS App - FreeSurfer 6.0,SIMON-dataset,success,3.5
BIDS App - FreeSurfer 6.0,cneuromod,failed,4.0
BIDS App - FreeSurfer 6.0,multicenter-phantom,failed,3.5
BIDS App - FreeSurfer 6.0,openpain/BrainNetworkChange_Mano,success,3.5
BIDS App - FreeSurfer 6.0,openpain/cbp_resting,success,3.5
BIDS App - FreeSurfer 6.0,openpain/placebo_1,success,3.5
BIDS App - FreeSurfer 6.0,openpain/placebo_predict_tetreault,failed,3.5
BIDS App - FreeSurfer 6.0,openpain/subacute_longitudinal_study,success,3.5
BIDS App - FreeSurfer 6.0,openpain/thermal,success,3.5
BIDS App - FreeSurfer 6.0,preventad-open,failed,3.5
BIDS App - FreeSurfer 6.0,preventad-open-bids,failed,3.5
BIDS App - fmriprep,BigBrain,failed,3.0
BIDS App - fmriprep,BigBrain_3DClassifiedVolumes,failed,3.0
BIDS App - fmriprep,Learning_Naturalistic_Structure__Processed_fMRI_dataset,failed,4.0
BIDS App - fmriprep,SIMON-dataset,success,3.0
BIDS App - fmriprep,cneuromod,failed,3.75
BIDS App - fmriprep,mm_neo_atlas,failed,3.0
BIDS App - fmriprep,multicenter-phantom,failed,3.5
BIDS App - fmriprep,openpain/BrainNetworkChange_Mano,failed,3.0
BIDS App - fmriprep,openpain/cbp_resting,failed,3.0
BIDS App - fmriprep,openpain/placebo_1,failed,3.0
BIDS App - fmriprep,openpain/placebo_predict_tetreault,success,3.0
BIDS App - fmriprep,openpain/subacute_longitudinal_study,success,3.0
BIDS App - fmriprep,openpain/thermal,failed,3.0
BIDS App - fmriprep,preventad-open-bids,success,3.25
BIDS App - fmriprep,visual-working-memory,failed,3.0
BIDS App - ndmg,Comparing_Perturbation_Modes_for_Evaluating_Instabilities_in_Neuroimaging__Processed_NKI_RS_Subset__08_2019_,failed,4.0
BIDS App - ndmg,Khanlab/HCPUR100-Template,failed,3.0
BIDS App - ndmg,Numerically_Perturbed_Structural_Connectomes_from_100_individuals_in_the_NKI_Rockland_Dataset,failed,4.0
BIDS App - ndmg,SIMON-dataset,success,3.0
BIDS app example,Comparing_Perturbation_Modes_for_Evaluating_Instabilities_in_Neuroimaging__Processed_NKI_RS_Subset__08_2019_,failed,4.0
